recipe_title,servings,ingredients,cooking_methods,source_url
Ethiopian Cabbage,4,"3 -4 tablespoons olive oil | 4 carrots, thinly sliced | 1 onion, thinly sliced | 1 teaspoon sea salt | 1/2 teaspoon ground black pepper | 1/2 teaspoon ground cumin | 1/4 teaspoon ground turmeric | 1/2 head cabbage, shredded | 5 potatoes, peeled and cut into 1-inch cubes",,https://www.food.com/recipe/ethiopian-cabbage-310482
Ethiopian Sauteed Lamb or Beef,4,"12 ounces lean lamb or 12 ounces beef sirloin | 1 garlic clove, minced | 1 tablespoon olive oil or 1 tablespoon vegetable oil | 1 small sweet onion, thinly sliced | 3 green hot peppers, quartered lengthwise | 1 red bell pepper, thinly sliced | 1 pinch salt | 1 tablespoon butter | 3 -4 teaspoons berbere mixed spice, recommend <a href=""https://www.food.com/recipe/berbere-spice-mix-ethiopian-454642"">Berbere Spice Mix (Ethiopian)</a>",saute,https://www.food.com/recipe/ethiopian-sauteed-lamb-or-beef-454643
Ethiopian Spiced Butter (Niter Kibbeh),1,"1 lb unsalted butter | 1 small onion, coarsely chopped | 3 tablespoons garlic, finely chopped | 1 teaspoon cardamom pod, crushed lightly with the side of a knife blade | 1 teaspoon fenugreek seeds | 1 teaspoon ground cumin | 1 -2 tablespoon gingerroot, finely chopped | 1/4 teaspoon grated nutmeg | 1 teaspoon dried oregano | 1/2 teaspoon ground turmeric | 5 -6 basil leaves",simmer,https://www.food.com/recipe/ethiopian-spiced-butter-niter-kibbeh-532490
Ethiopian Spicy Beef Stew (Key Wat),4,"1/2 teaspoon ground cumin | 1 teaspoon ground fenugreek | 1/4 teaspoon ground nutmeg | 1/2 teaspoon black pepper | 1/4 teaspoon turmeric | 4 tablespoons hot pepper flakes, dried, red (60 ml) | 2 tablespoons paprika (30 ml) | 1 teaspoon dried ginger | 2 teaspoons dried onion flakes | 1/2 teaspoon garlic powder (or flakes) | 1/4 teaspoon ground allspice | 3/4 teaspoon cardamom seed | 1/2 teaspoon ground cloves | 1 teaspoon ground coriander powder | 1/2 teaspoon ground cinnamon | 1 1/2 lbs beef, cut into 1 inch cubes (750 g) | 3 tablespoons oil | 2 tablespoons ghee (or butter or niter kibbeh, which is the real thing) | 1 onion, small, finely chopped | 2 garlic cloves, chopped and crushed | 2 teaspoons berbere, spice | 2 tablespoons tomato paste | 1/2 teaspoon sugar | 2 cups beef stock (500 ml, can use water) | 2 teaspoons sea salt (or to taste)","fry, stew, toast",https://www.food.com/recipe/ethiopian-spicy-beef-stew-key-wat-436458
Ethiopian Spicy Split Lentil Stew  (Yimser Wot),4,1 cup split red lentils | 1 1/2 tablespoons chili powder (Berbere) | 3 tablespoons extra virgin olive oil or 3 tablespoons vegetable oil | 1 red onions (chopped) or 1 shallot (chopped) | 5 1/2 cups water | 4 garlic cloves (diced) or 1 teaspoon garlic powder | 1/4 teaspoon cardamom powder (if available) | salt and black pepper,"boil, simmer, stew",https://www.food.com/recipe/ethiopian-spicy-split-lentil-stew-yimser-wot-363212
Ethiopian Tomato &amp; Cucumber Salad,4,"2 cups ripe tomatoes, seeded & diced or 2 cups cherry tomatoes, diced | 1 1/2 cups cucumbers, diced | 1/4 cup sweet onion, diced | 1 green hot pepper, seeded and finely diced | 4 teaspoons lemon juice | 2 teaspoons balsamic vinegar or 2 teaspoons red wine vinegar | 1/4 teaspoon salt | 1/4 teaspoon pepper | 2 teaspoons extra virgin olive oil",,https://www.food.com/recipe/ethiopian-tomato-cucumber-salad-454644
Falafel in Pita W/Roasted Garlic&amp;Caramelized Onion Couscous,4,"2 (15 ounce) cans chickpeas, rinsed and drained | 6 garlic cloves, chopped | 1/2 onion, chopped | 1 extra large egg | 1 lemon, juice of | 1/3 cup chopped parsley | 1/3 cup chopped cilantro | 2 teaspoons ground cumin | 2 teaspoons ground coriander | 1 teaspoon cayenne pepper | 1/3 cup self rising flour, plus 2 1/2 tbs | 1/4 cup all-purpose flour, for shaping patties | salt | canola oil (for frying) | 1 cup plain Greek yogurt | 1/4 cup tahini paste | 1 lemon, juice of | 2 garlic cloves, chopped | 1 pinch salt | 1 pinch paprika | 1/4 cup water | diced tomatoes and cucumber | pita bread, for sandwich | 1 (10 ounce) box couscous (plain) | 1 large onion, chopped | 5 garlic cloves | 1/4 cup olive oil, plus 1 tbs. olive oil | 1 teaspoon salt | 1/2 chicken bouillon cube | 2 tablespoons chopped parsley","bake, blend, fry, roast, saute, toast",https://www.food.com/recipe/falafel-in-pita-w-roasted-garlic-caramelized-onion-couscous-503608
Feggous and Tomato Salad (Moroccan Chopped Cucumber and Tomato S,4,"1 lb cucumber (or feggous) | 1 lb tomatoes, fresh, ripe | 2 tablespoons parsley, chopped fresh (or mint) | 2 -3 teaspoons onions, finely chopped | 2 tablespoons lemon juice (or vinegar) | 3 tablespoons olive oil (or vegetable oil) | salt, to taste | pepper, to taste",marinate,https://www.food.com/recipe/feggous-and-tomato-salad-moroccan-chopped-cucumber-and-tomato-s-503818
Fish Marinade (Chermoula),4,"1 cup fresh cilantro | 4 garlic cloves, peeled | 2 tablespoons white vinegar | 1 lemon, juice of | 1 lime, juice of | 1 tablespoon paprika | 1 tablespoon ground cumin | 1/2 teaspoon crushed red pepper flakes | 2 tablespoons olive oil (more if needed) | salt, to taste | cayenne pepper, to taste",blend,https://www.food.com/recipe/fish-marinade-chermoula-504293
"Fish Tagine With Tomatoes, Capers, and Cinnamon",4,"3/4 teaspoon ground cumin | 1/4 cup olive oil, extra virgin | 1 (15 ounce) can stewed tomatoes, chopped | 1 1/2 tablespoons capers, drained | 1/2 teaspoon cinnamon | 24 ounces fish fillets, about 1-inch thick (halibut is a good choice)",simmer,https://www.food.com/recipe/fish-tagine-with-tomatoes-capers-and-cinnamon-428302
Five-Spice Moroccan Coucous Salad,4,"1/4 cup peanut oil | 1/4 teaspoon turmeric | 1/4 teaspoon ground cinnamon | 1/4 teaspoon ground ginger | 1/4 teaspoon ground cumin | 1/4 teaspoon cayenne pepper | 1 1/2 cups instant couscous | 2 1/2 cups vegetable stock (or water) | 2 tablespoons orange juice | 1 teaspoon brown sugar | salt (to taste) | 415 g can chickpeas | 1 small red onion, finely chopped | 1/2 large red capsicum, seeded and cut into 1/4 inch pieces | 1/3 cup dates, pitted and chopped | 1/4 cup raisins | 2 tablespoons minced fresh coriander | 2 tablespoons unsalted peanuts, for garnish (chopped)","blend, boil",https://www.food.com/recipe/five-spice-moroccan-coucous-salad-428334
Fluffy Couscous,6,3 cups chicken broth | 1/4 teaspoon salt | 2 tablespoons olive oil or 2 tablespoons unsalted butter | 2 1/4 cups couscous | 1/2 cup currants (optional) or 1/2 cup golden raisin (optional) | 1/2 cup slivered almonds (optional),boil,https://www.food.com/recipe/fluffy-couscous-414772
Frans's Prizewinning Bobotie,6,"2 slices brown bread, thickly sliced | 1 1/2 cups milk | 2 tablespoons olive oil | 2 teaspoons butter | 2 onions, medium, finely chopped | 3 garlic cloves, chopped | 2 tablespoons curry powder (fresh, not too strong) | 1 tablespoon apricot jam | 2 tablespoons chutney (this would be a fruity chutney like Mrs Balls or Wellingtons) | 5 teaspoons vinegar, brown (we use a brown grape or wine vinegar) | 1 teaspoon lemon juice | 1 tablespoon Worcestershire sauce | 1 tablespoon turmeric | 2 lbs ground beef (and add 2 oz extra, as he uses 1 kg lean mince, just over 2 lbs) | 1/3 cup raisins (more than 1/3rd, he uses 100 ml) | 1/3 cup almonds, split (more than 1/3rd, he uses 100 ml) | 2 teaspoons salt | 3 eggs | 8 bay leaves (or use lemon leaves)","bake, fry",https://www.food.com/recipe/franss-prizewinning-bobotie-417625
French Merguez Sausages - Culinary Communion,10,"7 lbs lean lamb, trimmed and cubed | 3 lbs pork fatback, cubed | 3 ounces salt | 5 teaspoons granulated sugar | 1/2 teaspoon white pepper | 1/2 teaspoon ground cloves | 1/2 teaspoon ground ginger | 1 1/2 teaspoons crushed red pepper flakes | 1/4 cup minced garlic, sauteed and cooled | 1 1/2 lbs roasted red peppers, peeled, seeded, and small diced | 1 cup very cold dry red wine or 1 cup ice cold water | sheep casing, rinsed, 38 feet (may substitute hog casing if necessary)","broil, fry, grill, marinate",https://www.food.com/recipe/french-merguez-sausages-culinary-communion-340487
Fresh Moroccan Salad,4,1 green pepper | 2 tomatoes | 1 cucumber | 1 small onion | salt & freshly ground black pepper | 1 tablespoon oil | 1 teaspoon vinegar | 4 -6 black olives,,https://www.food.com/recipe/fresh-moroccan-salad-424023
Fresh Strawberries With Yogurt (Easy Moroccan Dessert),4,1 lb fresh strawberries | 1/2 cup vanilla yogurt | 3 tablespoons sugar (to taste) | 1 dash vanilla extract (optional) or 1 dash flavoring (optional),,https://www.food.com/recipe/fresh-strawberries-with-yogurt-easy-moroccan-dessert-503681
Fried Calf Liver Sudanese-Style,4,"2 tablespoons olive oil | 2 garlic cloves, minced | salt, to taste | 1/4 teaspoon ground cinnamon | 2 teaspoons tomato paste | 1 lb calf liver, cut into 1/2-inch cubes | 2 tablespoons water",,https://www.food.com/recipe/fried-calf-liver-sudanese-style-305967
Fried Fish With Moroccan Herb Sauce,2,"1/4 cup coarsely chopped fresh cilantro | 1/4 cup coarsely chopped fresh parsley leaves | 1 clove garlic, minced | 2 tablespoons fresh lemon juice | 1/2 teaspoon paprika | 1/2 teaspoon ground cumin | 1/8 teaspoon cayenne, to taste | 3 tablespoons vegetable oil, plus | additional oil, for frying the fish | 1 lb halibut or 1 lb grouper, cut into four equal pieces | all-purpose flour, seasoned with | salt and pepper, for dredging the fish","blend, fry",https://www.food.com/recipe/fried-fish-with-moroccan-herb-sauce-97103
Fruited Israeli Couscous,12,"2 teaspoons butter | 1 cup onion, finely chopped | 1/2 cup dried currant | 1/2 cup dried apricot, diced | 1/2 teaspoon salt | 3 (14 ounce) cans reduced-sodium fat-free chicken broth | 3 (3 inch) cinnamon sticks | 2 1/2 cups uncooked israeli couscous | 1/4 cup chopped fresh cilantro","boil, simmer",https://www.food.com/recipe/fruited-israeli-couscous-429950
Cinnamon-Sugar Fufu,6,"1 lb white potato, skinned | 1 lb orange sweet potatoes, skinned | 1/4 lb butter | 1 teaspoon cinnamon | 1/2 teaspoon cardamom | 1/4 cup sugar","boil, grill, marinate",https://www.food.com/recipe/fufu-310279
Buttery Mashed Yams,6,3 lbs yams (or malanga or cocoyam or green plantains) | 2 tablespoons butter or 2 tablespoons margarine | salt | pepper,"blend, boil",https://www.food.com/recipe/fufu-310286
Gabi's Harissa (Moroccan Hot Sauce),8,2 -3 red bell peppers | 10 habaneros | 1 teaspoon cumin | 1 teaspoon ground coriander | 2 tablespoons olive oil | salt and pepper,grill,https://www.food.com/recipe/gabis-harissa-moroccan-hot-sauce-310254
Geelrys (South African Yellow Rice With Raisins),4,"4 cups water or 4 cups stock | 2 1/2 cups long-grain rice | 1 teaspoon turmeric | 1 cinnamon stick | 1/2 teaspoon ground cinnamon | 1 -2 tablespoon sugar, white or brown | salt and pepper, to taste | 1/2 cup raisins (sultanas are best) | butter (optional)","boil, simmer",https://www.food.com/recipe/geelrys-south-african-yellow-rice-with-raisins-456514
Ghanaian Waakye (Beans and Rice),2,"7 ounces dried kidney beans, red beans (beans) or 7 1/8 ounces black-eyed peas, rinsed | 7 ounces long grain rice | salt | 4 -5 cups water","blend, boil",https://www.food.com/recipe/ghanaian-waakye-beans-and-rice-456096
Golden Couscous,6,"1 large yellow bell pepper, diced | 1 medium sweet onion, finely chopped | 3 tablespoons extra virgin olive oil, divided | 2 1/4 cups fresh corn, cut whole kernel | 1/2 teaspoon salt | 1/4 teaspoon pepper | 1 1/2 cups chicken broth | 1 cup couscous, uncooked | 2 teaspoons ground turmeric | 1 teaspoon ground cumin","boil, saute",https://www.food.com/recipe/golden-couscous-494398
Greek Couscous,6,"2 pieces sun-dried tomatoes, finely chopped | 1/4 cup onion, finely chopped (divided) | 1 cup water | 1 cup couscous (dry) | 1/4 teaspoon salt | 5 jumbo black olives | 1/2 cup feta cheese, crumbled | 1 tablespoon fresh basil, chopped | 2 tablespoons greek salad dressing with feta | 1 small garlic clove, minced","boil, microwave",https://www.food.com/recipe/greek-couscous-427578
Greek Couscous Salad,8,"1 (5 5/8 ounce) box garlic and herb couscous mix | 3/4 cup chickpeas, rinsed | 1 cucumber, diced & seeded | 1 medium tomatoes, diced | 1/2 cup feta cheese | 1/2 cup sliced ripe olives | 3 green onions, sliced | 1/2 teaspoon garlic powder | 1/2 teaspoon dried mint | 1/2 teaspoon all purpose Greek seasoning | 1 tablespoon lemon juice | 1/2 cup Greek salad dressing",,https://www.food.com/recipe/greek-couscous-salad-433410
Grilled Beets With Moroccan Dressing,4,"4 beets, raw and unpeeled | olive oil, for brushing | 3 garlic cloves, minced | 1 onion, finely chopped | 1 tomatoes, chopped | 2 tablespoons fresh cilantro, chopped | 1/4 teaspoon ground cumin | 1/4 teaspoon curry powder | 1 tablespoon vinegar or 1 tablespoon lemon juice | 3 tablespoons olive oil | 1 pinch sugar | salt, to taste | ground cayenne pepper, to taste","blend, grill",https://www.food.com/recipe/grilled-beets-with-moroccan-dressing-356112
Grilled Cod With Moroccan-spiced Tomato Relish,4,"4 (6 ounce) cod fish fillets | 3 tablespoons olive oil | salt | fresh ground black pepper | 1/2 teaspoon ground cumin | 1/2 teaspoon ground coriander | 1/8 teaspoon ground red pepper | 1 clove garlic, minced | 3 medium tomatoes, seeded and diced | 2 tablespoons orange juice | 1/2 teaspoon salt","broil, grill",https://www.food.com/recipe/grilled-cod-with-moroccan-spiced-tomato-relish-94297
Grilled Harissa Carrot Hummus,6,"1 lb carrot, peeled, ends trimmed | 1/4 cup harissa, divided, plus more | 6 garlic cloves, finely grated, divided | 2/3 cup plus 2 tablespoons extra virgin olive oil, plus more | 2 tablespoons fresh thyme leaves, plus more | 1 teaspoon ground cumin | kosher salt | 2 (15 ounce) cans chickpeas, drained and 2 tablespoons of liquid reserved | 1/3 cup tahini | 2 tablespoons fresh lemon juice | aleppo pepper (for serving) | vegetable oil (for brushing)",grill,https://www.food.com/recipe/grilled-harissa-carrot-hummus-536444
"Grilled Harissa Lamb With Yogurt, Moroccan",2,"1 tablespoon corinader seeds | 1 tablespoon cumin seed | 3 tablespoons harissa (purchased or homemade) | 1 lemon, juice of | 2 tablespoons extra-virgin olive oil (Moroccan preferred) | 4 garlic cloves, minced | 1 -3 lb lamb shoulder, boned and butterflied | kosher salt & freshly ground black pepper | 1 cup yogurt | 1 cup cucumber, peeled, seeded and coarsley grated | 1/4 cup mint, minced | 3 tablespoons preserved lemons, minced | kosher salt & freshly ground black pepper","grill, marinate, roast",https://www.food.com/recipe/grilled-harissa-lamb-with-yogurt-moroccan-492545
Grilled Lemon Chicken and Moroccan Couscous Salad,6,"2 cups low sodium chicken broth | 2 tablespoons extra virgin olive oil, divided | 1 tablespoon ground ginger | 2 garlic cloves, pressed | 2 teaspoons salt, divided | 1 teaspoon ground turmeric | 1/2 teaspoon ground cinnamon | 1/4 teaspoon ground cumin | 1 (10 ounce) box couscous | 1/2 cup raisins | 1 cucumber, peeled, seeded, cut into 1/2-inch cubes (about 1 1/2 cups) | 1 large red bell pepper, cut into 1/2-inch cubes (about 2 cups) | 1 large carrot, peeled, quartered lengthwise, thinly sliced crosswise | 1 cup thinly sliced green beans or 1 cup trimmed sugar snap pea | 2 teaspoons finely grated lemon peel | 1/4 cup fresh lemon juice | 2 1/2 tablespoons extra virgin olive oil | 2 tablespoons fresh lemon juice | 1/2 teaspoon salt | 1/2 teaspoon ground black pepper | 6 large boneless skinless chicken breast halves, pounded to 1/3-inch thickness | 3/4 cup plus 1/3 cup chopped fresh cilantro (loosely packed) | 1/2 cup chopped toasted almond (optional) | 1 lemon, cut into 6 wedges","boil, grill",https://www.food.com/recipe/grilled-lemon-chicken-and-moroccan-couscous-salad-315257
Grilled Salmon With Brown Butter Couscous,4,"2 tablespoons butter | 2 tablespoons pine nuts | 1 cup couscous, uncooked | 2 tablespoons dry white wine | 1 (14 1/2 ounce) low sodium chicken broth | 1 tablespoon lemon rind, grated | 1 tablespoon lemon juice | 1/2 teaspoon kosher salt, divided | 1/4 teaspoon black pepper | 1/2 teaspoon white pepper | 1/2 teaspoon ground fennel | 1/2 teaspoon ground coriander | 1/4 teaspoon sugar | 4 (6 ounce) salmon fillets, skinless | cooking spray","boil, grill",https://www.food.com/recipe/grilled-salmon-with-brown-butter-couscous-478579
Grilled Salmon With North African Flavors,4,"1/4 cup nonfat plain yogurt | 1/4 cup chopped fresh parsley | 1/4 cup chopped fresh cilantro | 2 tablespoons lemon juice | 1 tablespoon extra virgin olive oil | 3 garlic cloves, minced | 1 1/2 teaspoons paprika | 1 teaspoon ground cumin | 1/4 teaspoon salt | 1/8 teaspoon ground pepper | 1 lb center-cut salmon fillet, cut into 4 portions | 1 lemon, cut into wedges",grill,https://www.food.com/recipe/grilled-salmon-with-north-african-flavors-307035
Harissa,6,"4 ounces hot red chilies, deseeded | 4 garlic cloves | 2 tablespoons water | 2 tablespoons extra virgin olive oil | 1/2 teaspoon ground caraway seed | 1/2 teaspoon ground coriander | 1 teaspoon ground cumin | 1/2 teaspoon salt | extra olive oil",blend,https://www.food.com/recipe/harissa-502691
Harissa Burgers,4,"1 lb ground lamb | 2 tablespoons harissa | 2 teaspoons fennel seeds | 2 large garlic cloves, minced | 2 teaspoons ground coriander | 2 teaspoons ground cumin | 1/4 teaspoon ground cinnamon | kosher salt | black pepper | hamburger bun",grill,https://www.food.com/recipe/harissa-burgers-457053
Harissa Cauliflower Steaks,4,"1 head cauliflower, leaves removed | 1/2 teaspoon kosher salt | 4 teaspoons president's choice virgin cold-pressed coconut oil | 1/2 teaspoon president's choice black label harissa spice blend moroccan seasoning | 4 teaspoons pine nuts | 2 lemon wedges | 8 mint leaves","blend, fry",https://www.food.com/recipe/harissa-cauliflower-steaks-523456
Harissa Couscous,10,"14 ounces couscous | 6 -8 scallions, finely sliced | 3 tablespoons mint, roughly chopped | 9 ounces cherry tomatoes, halved | 1 3/4 cups vegetable stock, hot | 1 teaspoon harissa | 3 tablespoons olive oil | 1 lemon, juice",,https://www.food.com/recipe/harissa-couscous-421357
Harissa-Marinated Top Sirloin Tips,6,"2 lbs top sirloin steaks, trimmed of fat (about 1 1/2 inches thick) | 4 tablespoons olive oil | 4 garlic cloves | 2 tablespoons brown sugar | 2 tablespoons soy sauce | 1 tablespoon fresh thyme leave | 5 teaspoons harissa | salt","blend, marinate",https://www.food.com/recipe/harissa-marinated-top-sirloin-tips-427734
Harissa Oil,10,"2 dried chilies | 1 teaspoon cumin seed | 1 teaspoon coriander seed | 1 teaspoon caraway seed | 1 pinch dried mint, crumbled | 1/2 teaspoon sea salt | 2 garlic cloves, peeled and smashed | 10 fluid ounces olive oil",,https://www.food.com/recipe/harissa-oil-367394
Harissa Pork Patties or Burgers,4,"1 lb good quality sausage meat | 1 -2 tablespoon harissa, more if you want it spicier | 1 small red onion, very finely chopped | 1 clove garlic, crushed | 2 tablespoons finely chopped flat leaf parsley (or a mix of coriander and parsley) | 1 tablespoon chopped chives | 2 tablespoons olive oil | lemon slice, to serve",fry,https://www.food.com/recipe/harissa-pork-patties-or-burgers-59473
Healthy Couscous With Roasted Mediterranean Vegetables (Ww),2,"1 tablespoon olive oil | 2 garlic cloves, crushed | 1 red onion | 1 yellow bell pepper | 1 zucchini | 1/2 teaspoon Cavenders All Purpose Greek Seasoning (more or less to your taste) | 3/4 cup chicken broth (I use 1 stock cube and boiling water) | 1 cup couscous | aluminum foil","bake, roast",https://www.food.com/recipe/healthy-couscous-with-roasted-mediterranean-vegetables-ww-384987
Herb Couscous Stuffed Tomatoes,4,4 tomatoes (large vin ripened) | 1/3 cup couscous | 1 tablespoon currants | 1/4 cup chicken stock (salt reduced) | 1 tablespoon lemon juice | 1 tablespoon almonds (slivered toasted) | 1 tablespoon basil leaves (fresh chopped) | 1 tablespoon parsley (fresh flat-leaf parsley leaves) | 1 tablespoon chives (fresh finely chopped) | 1 teaspoon extra virgin olive oil | salt and pepper (to taste),"bake, microwave",https://www.food.com/recipe/herb-couscous-stuffed-tomatoes-449004
Herbed Couscous,4,"2 tablespoons butter | 2 garlic cloves, minced | 3/4 cup chopped scallion (green onion) | salt | black pepper | 1 1/2 cups couscous | 2 cups low sodium chicken broth | 1 tablespoon chopped fresh parsley","boil, saute, simmer",https://www.food.com/recipe/herbed-couscous-489818
Herbed Couscous,4,"1 cup couscous | 1 tablespoon olive oil | 1 cup boiling chicken stock | 1 tablespoon preserved lemon, finely chopped | 1/2 cup parsley, finely chopped | 1/2 cup mint, finely chopped | 1/2 cup sultana | 1/2 cup almonds, roughly chopped, toasted | salt and pepper",boil,https://www.food.com/recipe/herbed-couscous-496131
Herbed Israeli Couscous,4,"2 tablespoons olive oil | 2 cups israeli couscous | 4 cups chicken broth or 4 cups vegetable broth | 1/4 cup fresh parsley, chopped | 1 tablespoon tarragon, chopped | 1 tablespoon rosemary, chopped | 1/4 cup lemon juice | 1 teaspoon salt | 1/2 teaspoon pepper","boil, saute, simmer",https://www.food.com/recipe/herbed-israeli-couscous-332670
Hoisin-Honey Beef With Couscous,4,2 cups chicken broth | 2 grated carrots | 1 cup couscous | 1 lb beef sirloin steak | 1 sweet red pepper | 12 green onions | 1 tablespoon of minced garlic | 1 tablespoon ginger | 6 tablespoons hoisin sauce | 3 tablespoons honey | 1 tablespoon toasted sesame oil | 1/4 cup fresh cilantro,"boil, fry",https://www.food.com/recipe/hoisin-honey-beef-with-couscous-479774
Homemade Piri-Piri ( Hot  Sauce) Mia's Way,4,2 kg hot red chili peppers | 3 bulbs of garlic | 2 cups olive oil | 1 1/2 cups coarse salt,blend,https://www.food.com/recipe/homemade-piri-piri-hot-sauce-mias-way-336778
Honey Almond Briouats,16,350 g marzipan | 50 g chopped almonds | 1/2 teaspoon almond extract | 4 tablespoons orange flower water | 8 -10 phyllo pastry sheets (depending on size of sheets) | 125 g melted butter | 260 g honey,"bake, boil",https://www.food.com/recipe/honey-almond-briouats-320735
Honey Dijon Almond Couscous,4,"1/2 cup Fisher Chef's Naturals Sliced Almonds, toasted | 1 1/2 cups water | 1 cup uncooked israeli couscous | 2 tablespoons olive oil | 1/2 cup diced red onion | 1/4 cup diced red bell pepper | 1/4 cup diced carrot | 1/4 cup raisins | 1 teaspoon ground turmeric | 1/2 teaspoon ground cinnamon | salt & fresh ground pepper (optional) | 3 tablespoons honey | 1 tablespoon Dijon mustard | 1/2 teaspoon lemon zest","bake, boil, toast",https://www.food.com/recipe/honey-dijon-almond-couscous-476004
Honey Orange Glazed Salmon With Orange Almond Couscous,4,"1 cup florida orange juice | 1 1/2 lbs whole wild salmon fillets | 2 tablespoons honey | 3 slices fresh gingerroot | 1 1/3 cups whole wheat couscous | 3 tablespoons extra virgin olive oil, divided | 2 cups arugula | 1/4 cup sliced green onion (2-3 onions) | 1/2 cup toasted sliced almonds | 2 cups water | salt and pepper | 1/2 cup florida orange juice | 1/4 cup extra virgin olive oil | 1 garlic clove, crushed | 1 tablespoon honey | 1 teaspoon Dijon mustard | 2 teaspoons red wine vinegar | salt and pepper","boil, fry, simmer",https://www.food.com/recipe/honey-orange-glazed-salmon-with-orange-almond-couscous-535379
Hot Moroccan Chicken Salad,4,"1 3/4 cups water | 1 (10 ounce) box couscous | 1 teaspoon salt, divided | 1 tablespoon olive oil | 4 boneless skinless chicken breast halves | 2 teaspoons chopped garlic | 3 tablespoons fresh lemon juice | 2 tablespoons chopped fresh cilantro | 1 tablespoon white wine vinegar | 1 teaspoon cumin | 1/2 teaspoon paprika | 1/4 teaspoon ground red pepper | 1/3 cup olive oil | 1/2 cup thinly sliced red onion | 1 medium yellow pepper, cut into thin strips | 1 pint cherry tomatoes, halved | 1/2 cup olive","boil, broil, grill",https://www.food.com/recipe/hot-moroccan-chicken-salad-45355
How to Prepare Beef Jerky the South African Way,5,5 kg rump steak | 300 g rock salt | 50 g of mix color whole pepper | 25 g whole coriander seeds | 4 g sugar | 1/2 liter of brow vinegar | 25 ml Worcestershire sauce | 50 g all-purpose seasoning | 250 ml warm water,,https://www.food.com/recipe/how-to-prepare-beef-jerky-the-south-african-way-533113
Injera (Ethiopian Flat Bread),24,"1/2 cup whole wheat flour | 1/3 cup all-purpose flour | 1 tablespoon brown sugar | 1/2 teaspoon salt | 1/4 teaspoon baking powder | 1/8 teaspoon baking soda | 2 eggs, beaten | 2 cups buttermilk | 1 tablespoon cooking oil",,https://www.food.com/recipe/injera-ethiopian-flat-bread-455607
Injera (Ethiopian Flatbread),12,"2 cups teff flour or 2 cups whole wheat flour, not stone ground | 1 cup all-purpose flour, not self-rising | 1 teaspoon salt | 1 1/2 teaspoons baking soda | 1/2 cup cups plain yogurt | 3 cups club soda",stew,https://www.food.com/recipe/injera-ethiopian-flatbread-396578
Injera (Fermented Sourdough Bread),20,1 1/2 lbs teff flour | 1/2 lb barley flour | 1/4 cup wheat flour,,https://www.food.com/recipe/injera-fermented-sourdough-bread-532832
Israeli Couscous and Cranberry Salad,8,"1 cup israeli couscous | 2 cups vegetable stock | 4 tablespoons olive oil, divided | 2 cups dried cranberries | 1 cup pine nuts | 1/2 cup spring onion, white parts only, chopped | 1/2 red onion, medium sized and finely chopped | 1/2 cup cilantro, chopped | 1 teaspoon lemon zest | 1 shallot, minced | 1/2 lemon | salt",simmer,https://www.food.com/recipe/israeli-couscous-and-cranberry-salad-434259
Israeli Couscous Pepper Salad,4,"2 cups water (or vegetable broth) | 1 cup israeli couscous | 1 teaspoon olive oil | 1/2 teaspoon kosher salt | 1 1/2 cups kidney beans, rinsed and drained (or black beans) | 3/4 cup chopped red bell pepper | 3/4 cup chopped green bell pepper | 1/4 cup chopped red onion | 3 green onions, chopped | 1/2 cup chopped fresh cilantro | 1/4 cup chopped fresh flat leaf parsley | 1/4-1/2 teaspoon red pepper flakes (optional) | 1 tablespoon honey | 1 large lime, juice of | 3 tablespoons extra virgin olive oil | salt and pepper","boil, simmer",https://www.food.com/recipe/israeli-couscous-pepper-salad-318373
Israeli Couscous  Salad,6,"salt | 1 lb israeli couscous | 1/4 cup extra virgin olive oil | 2 tablespoons sherry wine vinegar (or freshly squeezed lemon juice) | 1/2 teaspoon ground cumin | 1/8 teaspoon ground cinnamon | 1 preserved lemon, skin only, sliced as thinly as possible (or 1 T. lemon zest) | 1/2 small red onion, thinly sliced | 1/4 cup currants or 1/4 cup golden raisin | 1/2 cup cooked chickpeas (can be drained canned) | 2 tablespoons capers | 1/2 cup pine nuts, toasted | 1 pint cherry tomatoes or 1 pint grape tomatoes, halved if large | 1/2 cup chopped fresh parsley leaves",boil,https://www.food.com/recipe/israeli-couscous-salad-485885
Israeli Couscous Salad With Roasted Cherry Tomatoes,6,"1 cup israeli couscous | 1 pint cherry tomatoes | 3 garlic cloves | 10 olives, kalamata, cut into slivers | 1/4 cup parsley, Italian flat leaf, chopped | 5 basil leaves, slivered | 1/4 cup olive oil | 2 tablespoons white balsamic vinegar | 1/2 cup edamame (soy beans) (optional)",roast,https://www.food.com/recipe/israeli-couscous-salad-with-roasted-cherry-tomatoes-431009
"Israeli Couscous, Tomato and Mozzarella Salad",6,"2 cups fresh cherry tomatoes | 1 (8 ounce) container fresh perline mozzarella cheese | 2 tablespoons extra virgin olive oil | 1 teaspoon balsamic vinegar | 1/2 teaspoon salt | 1/4 teaspoon fresh ground black pepper | 1 garlic clove, crushed and minced | 1 (8 ounce) box israeli couscous | 1/4 cup chopped fresh basil | basil leaves, for garnish",marinate,https://www.food.com/recipe/israeli-couscous-tomato-and-mozzarella-salad-389857
