recipe_id,ingredients_text
321,"1 (3 pound) boneless pork loin roast 5 teaspoons kosher salt 2 tablespoons olive oil 2 teaspoons ground cumin 1 teaspoon ground coriander 1 teaspoon ground ginger 1 teaspoon freshly ground black pepper 1 teaspoon smoked paprika 1/4 teaspoon cayenne pepper 1/2 teaspoon ground cinnamon 1/4 teaspoon ground cloves 1/4 teaspoon ground allspice 3 tablespoons honey, or as needed 8 baby potatoes 2 carrots, cut into 2-inch chunks 2 anaheim chile peppers, halved and seeded 1 red onion, roughly chopped 2 tablespoons olive oil salt to taste 1/2 cup plain greek yogurt 2 tablespoons thinly sliced fresh mint 1 clove garlic, finely crushed"
322,"2 tablespoons vegetable oil 2 carrots, chopped 1 celery stalk, chopped 1 onion, chopped 4 cloves garlic, minced 1 1/2 pounds chuck roast, cut into 1-inch cubes 1 teaspoon salt, or to taste 1 teaspoon ground turmeric 1 teaspoon onion powder 1 teaspoon garlic powder 1/2 teaspoon ground black pepper, or to taste 1/2 teaspoon ground cinnamon 1/2 teaspoon ground ginger 1/2 teaspoon ground cumin 1/2 teaspoon ground coriander 1/4 teaspoon ground allspice 3 tablespoons tomato paste 4 cups low-sodium beef broth 1 tablespoon molasses 2 bay leaves 1 cup dried red lentils 1/2 cup dried apricots, chopped 1/2 lemon, juiced"
323,"12 mild to medium hot red chile peppers 1 teaspoon extra-virgin olive oil 1 teaspoon caraway seeds 1/2 teaspoon coarsely ground cumin seeds 1/2 teaspoon coarsely ground coriander 3 large garlic cloves, finely chopped 1/4 cup extra-virgin olive oil, or more as desired salt to taste"
324,"1 tablespoon olive oil 1 onion, chopped 2 cloves garlic, peeled and chopped 1 bay leaf 1 (14.5 ounce) can whole peeled tomatoes, drained 2 teaspoons curry powder 1/8 teaspoon salt 1 (2 to 3 pound) whole chicken, bones and skin removed, cut into pieces 1 (14 ounce) can unsweetened coconut milk 1 lemon, juiced"
325,"2 tablespoons olive oil 1 small onion, finely chopped 1 leek, washed and chopped 1 clove garlic, minced 2 pounds ground beef 2 teaspoons ground cumin 2 teaspoons ground cardamom 1 teaspoon salt 1 teaspoon pepper 1 tablespoon all-purpose flour 1 tablespoon water, or as needed 1 (14 ounce) package spring roll wrappers 1 quart oil for frying, or as needed"
326,"1 tablespoon vegetable oil 1 large onion, chopped 2 cloves garlic, minced 2 teaspoons minced fresh ginger root 1 1/2 teaspoons ground cumin 1 1/2 teaspoons ground coriander 1/2 teaspoon ground cinnamon 1 pinch ground cloves 3 medium tomatoes, chopped 1 1/2 pounds sweet potatoes, peeled and chopped 1 carrot, peeled and chopped 4 1/2 cups water 1 teaspoon salt 1/4 cup chopped, unsalted dry-roasted peanuts 1 pinch cayenne pepper 2 tablespoons creamy peanut butter 1 bunch chopped fresh cilantro"
327,"1/2 cup milk 2 tablespoons unsalted butter 1 teaspoon distilled white vinegar 1 1/3 cups cake flour 1 teaspoon baking soda 1 pinch salt 1 cup superfine sugar 2 eggs 1 tablespoon apricot jelly 1 cup heavy cream 1/2 cup unsalted butter 1/2 cup white sugar 1/2 cup water, orange juice, or sherry"
328,"4 yucca (cassava) roots, peeled and sliced 5 medium yellow plantains, with peels on 1/2 cup butter, or more as needed"
329,"1 tablespoon vegetable oil 3 1/2 pounds lamb or mutton breast chops, chopped into portions 2 tablespoons cake flour 1 large onion, chopped 2 1/4 pounds fresh tomatoes, chopped 1 tablespoon white vinegar 2 bay leaves 1 cube beef bouillon cube 1 teaspoon salt 1 teaspoon brown sugar 6 whole white peppercorns 1/2 teaspoon freshly ground black pepper 1 dash worcestershire sauce 2 medium potatoes, quartered (optional)"
330,"1 cup fresh lemon juice 1/4 cup paprika 2 tablespoons hot chili powder 3 cloves garlic, minced 1 1/2 teaspoons chopped fresh ginger 1 1/2 teaspoons salt 4 bone-in chicken breast halves"
331,"1 frozen puff pastry, thawed 1/4 cup raisins 1/4 cup slivered almonds 1/4 cup pine nuts 1/4 cup chopped pistachio nuts 1/4 cup sweetened, flaked coconut 5 cups milk 1 cup white sugar 1 teaspoon vanilla extract"
333,"cooking spray 1 cup white sugar 3 tablespoons butter, melted 3 egg yolks 1 cup cake flour 1 teaspoon baking powder 1/4 teaspoon salt 4 cups milk 1 teaspoon vanilla extract 3 egg white 1 tablespoon cinnamon sugar"
334,"2 cups vegetable broth 5 tablespoons unsalted butter 1/3 cup chopped dates 1/3 cup chopped dried apricots 1/3 cup golden raisins 2 cups dry couscous 3 teaspoons ground cinnamon 1/2 cup slivered almonds, toasted"
335,"1 1/2 cups dried white kidney beans, soaked overnight 3 tablespoons tomato paste 1 tablespoon red pimento sauce 3 cloves garlic, chopped 3 medium onions, chopped 1 tablespoon lemon juice 1 teaspoon ground cumin 2 tablespoons olive oil salt and pepper to taste 1 (14.5 ounce) can beef broth"
336,"2 tablespoons extra-virgin olive oil, plus more for garnish 12 ounces boneless lamb shoulder, cut into 1/2-inch pieces 1 large yellow onion, diced 1 teaspoon kosher salt, divided, or to taste 1 1/2 teaspoons smoked paprika 1 teaspoon ground coriander 1 teaspoon ground cumin 1/2 teaspoon ground ginger 1/2 teaspoon freshly ground black pepper 1/4 teaspoon ground cinnamon 4 cloves garlic, minced 1 tablespoon tomato paste 4 cups chicken broth 1 (15 ounce) can crushed tomatoes 2 ribs celery with leaves, chopped 2 cups water, or to taste 1 (15 ounce) can chickpeas, drained 3/4 cup green lentils, rinsed 1 tablespoon all-purpose flour 2 tablespoons cold water 1/2 cup chopped fresh cilantro, divided 1/2 cup chopped fresh parsley, divided 1/2 cup vermicelli pasta, broken into 1/2-inch pieces 1/8 teaspoon cayenne pepper 1 lemon, juiced"
338,"3-4 large bananas (the riper, the better) 1 cup self-rising flour 3/4 cup cornmeal 2 tablespoons sugar 1/2 teaspoon salt 1 teaspoon baking powder oil for deep frying"
339,2 pounds grated cassava (frozen is okay) 3/4 teaspoon salt or more (adjust to taste) 3 large overly ripe bananas (optional)
340,"1-2 pounds (450-900g) assorted meat (beef, tripe, cow skin, smoked fish, dried crawfish, etc.) salt (½-¾ teaspoon (3-4g) per pound) ground red pepper to taste (or a whole scotch bonnet) 6-7 cups (1½l) stock (or 6 cups water with 2 tablespoons beef bouillon) 1/2 cup (118ml) red palm oil 2 tablespoons (15g) ground achu spice 1 tablespoon (10-11g) bouillon powder or maggi 1 tablespoon (10g) ground limestone 4-5 pounds (1.8-2.25kg) cocoyams (taro) 2 green bananas or plantains (optional) salt to taste"
341,1 cup (120g) all-purpose flour 3 tablespoons (40g) sugar 1 teaspoon (5g) baking powder 1/2 teaspoon (1g) nutmeg or cinnamon 1/2 teaspoon (1g) grated orange zest (optional) 2 large eggs 3/4 cup (180ml) whole milk 1/2 teaspoon (3ml) vanilla extract 3 tablespoons (42g) melted butter 1/2 cup (15g) nutella (or more to taste)
342,"1-2 pounds (450-900g) assorted meat (tripe, cow skin, goat, etc.) 1/2 medium onion, chopped 2 maggi cubes or 2 tablespoons of bouillon powder 1/2 pound (250g) smoked fish 1/2 cup (30g) crayfish 1-2 cups (230-460ml) red palm oil (not the controversial palm oil) 5 cups (150g) dried okazi leaves 6 cups (360g) fresh waterleaves or spinach salt and pepper to taste"
344,21/4 cups (270g) all-purpose flour 2 teaspoons (4g) baking powder 1/2 cup (100g) granulated sugar 1/2 teaspoon (3g) salt 1 teaspoon (2g) grated orange zest 1 teaspoon (2-3g) grated nutmeg 1/2 cup (118ml) whole milk (or 2% milk) 3 large eggs 2 teaspoons (10ml) vanilla 1/4 cup (60g) melted butter or vegetable oil oil for deep frying
345,"6 eggs boiled 1/4 cup (60ml) water, lukewarm 1/2 teaspoon (2g) yeast 1/3 cup (80ml) whole milk 11/2 tablespoons (18g) sugar 1 teaspoon (7g) salt 2 cups (240g) flour 1/2 teaspoon (1.5g) granulated garlic 1/2 teaspoon (1g) paprika 1/4 teaspoon (1g or less) white pepper 2 ounces (58g) unsalted butter or margarine oil for deep-frying"
346,"1 15-ounce can sardines in chili tomato sauce (mackerel works, too) 1/2 medium onion, chopped 1/2 teaspoon (1g) parsley 1/4 teaspoon (1g) curry powder 1 cup plus 2 tablespoons (266ml) water 11/4 teaspoon (4-5g) yeast 21/2 tablespoons (30g) sugar 1/2 tablespoon (9g) salt 4 cups (480-500g) all-purpose flour 5 ounces (142g) unsalted butter or margarine"
347,"3-31/2 pounds (1.5-2kg) chicken (cut into pieces) 4-5 cloves garlic 2 tablespoons (28-30g) chopped ginger 3-5 tablespoons (11-20g) parsley, basil, and any fresh herb 1 teaspoon (3g) maggi or bouillon powder 1 teaspoon (6g) salt (adjust according to preference) 1 tablespoon (8-9g) paprika 1 teaspoon (2-3g) white pepper 1 teaspoon (2-3g) curry powder 1/2 medium onion, sliced cooking oil for deep frying 4 green plantains (or barely turning yellow) cooking oil for deep frying"
348,"3-4 pounds of chicken skin- on cut up into desired pieces 1 1/4 teaspoon salt 1 tablespoon onion powder 1 1/2 tablespoon garlic powder 1 teaspoon white pepper 1/2 teaspoon cayenne pepper 1 teaspoon bouillon powder , you may replace with salt sauce 2 fresh tomatoes 1/2 cup water or more as needed chicken bouillon to taste"
349,"4 cups (480g) flour (plus more for dusting) 2 tablespoons (25g) sugar 1/2 tablespoon (9g) salt 8 ounces (227g) butter 1 egg 3/4 cup (178ml) milk 2 tablespoons (30ml) canola oil 1/2 pound (225g) ground beef 1/2 medium onion, chopped 1 teaspoon (3g) minced garlic 1 teaspoon (3g) chicken bouillon powder (optional) 1/2 cup (112-113g) tomato sauce 1 tablespoon (7g) smoked paprika 2 2 green onions, chopped 2 tablespoons (7-8g) parsley 1 teaspoon (2-3g) white pepper salt to taste 2 boiled eggs (optional)"
350,1/4 cup oil 2- 3 pounds chicken legs or thighs 1 teaspoon paprika 2 fresh tomatoes 1 medium onion chopped 4 garlic cloves 1/2 teaspoon ginger chopped 3 tablespoons parsley 1/2 cup peanut butter or peanut paste 1 teaspoon chicken bouillon optional 1/2 teaspoon cayenne pepper salt and pepper to taste
351,"10 hot peppers (habaneros, scotch bonnet peppers, thai chili, etc.) 1 medium onion 4 cloves garlic 2 tablespoons (20g) bouillon powder or maggi 2 basil leaves 2 tablespoons (7-8g) parsley 1-3 roma tomatoes, adjust the amount to taste 1/2-1 cup (118-236ml) vegetable oil salt to taste"
352,"3-31/2 pound (1-1.5kg) chicken, cut into pieces 1 medium onion, sliced 4-5 cloves garlic 2 tablespoon (12g) ginger, chopped 1 tablespoon (6-7g) paprika 1 bay leaf 1 tablespoon (10g) maggi or bouillon powder 2 green onion, chopped (whites and green parts) 3-5 tablespoons (5-9g) parsley, basil, or other fresh herb 1-3 scotch bonnet or habanero peppers salt and white pepper to taste 1/4 cup (60ml) njansa (optional)"
353,"1/2 cup red / palm / or canola oil i used ½ and ½ 2-3 garlic clove minced 1 medium onion diced 1 tablespoon smoked paprika 1 teaspoon dried thyme 1/2 scotch bonnet pepper or ½ teaspoon cayenne pepper 4 tomatoes diced 2 cups washed long grain rice i used basmati 2 cups cooked beans black, red, black-eyed peas 4 1/2 - 5 cups chicken broth or water 1 tablespoon salt or more to taste 1/4 cup crayfish optional 1 teaspoon chicken bouillon optional"
354,"4 pounds (1.8kg) oxtails 1 medium onion, chopped (divided) 2 cloves garlic, minced 1 8-ounce can tomato sauce 2 tablespoons (30g) tomato paste 1 sprig thyme (or 1 teaspoon thyme leaves) 1 teaspoon (2-3g) curry powder 1 green bell pepper 2 green onions 1 tablespoon (10-11g) maggi or bouillon powder 1 habenaro pepper (optional) salt and pepper to taste"
355,"5 garlic cloves 1-2 tomatoes 2 tablespoons parsley 3-4 basil leaves 1/2 medium onion cho[[ed 1 tablespoon chopped ginger 1 teaspoon white pepper 2 teaspoons smoked paprika 1 tablespoon bouillon powder 1 tablespoon green onions 5 cups of water or more 1 1/2 -2 pounds yam peeled and cut into medium pieces sub potatoes 2 pounds fish tilapia,snapper, or chicken (thighs, legs)(cleaned and cut into medium pieces) 1-2 cups sliced carrots optional salt and pepper to taste 1/2 scotch bonnet pepper optional"
356,"3 1/2 cups (440g) all-purpose flour , plus more for rolling 1/2 teaspoon (2g) baking powder 1/2 teaspoon (2.5g) salt 1/2 -3/4 cup (100g-150g) sugar 1-2 teaspoons (2g-4g) grated nutmeg 1 teaspoon (2g) grated lime zest 1/3 cup (75.67g) margarine/butter 1 large egg 3/4 cup (180ml) milk"
357,"1 medium onion, diced 1 14-ounce can tomato sauce 1-2 tablespoons (15-30ml) cooking oil 3 cups (585g) rice (i used basmati) 2 teaspoons (5-6g) chicken bouillon 2 teaspoons (10g) salt 1 tablespoon (7g) paprika 1 tablespoon (10g) garlic powder 31/2 cups (830ml) chicken broth or water 1 teaspoon (2g) white pepper 1/2 teaspoon (1g) dried thyme (optional) 1 scotch bonnet pepper or ¾ teaspoon cayenne (omit if cooking for kids) 1 pound (450g) vegetables 31/2-4 pound (1.5-2k) whole chicken, deboned 1 tablespoon (6g) thyme 11/4 teaspoon (6g) salt 11/2 tablespoon (15g) onion powder 11/2 tablespoon (21g) garlic powder 1 teaspoon (2g) smoked paprika 1 teaspoon (2g) white pepper 1/2 teaspoon (1g) cayenne pepper 1 teaspoon (3-4g) bouillon powder (or replace with salt) 1/4 cup (60ml) drippings from roast chicken 2-3 tablespoons (15-23g) all-purpose flour 2 cups (475ml) or more chicken stock chicken bouillon powder to taste (optional) salt and pepper to taste"
358,"21/2-3 pounds (1-1.5kg) smoked goat meat, cut into small pieces salt and pepper to taste (4-5g per pound of meat) 2 teaspoons (6-7g) maggi or bouillon powder (adjust to taste) 1/2 cup (80g) chopped onion 1 cup (236ml) water, more as needed 2-3 tablespoons (30-45ml) cooking oil 2 teaspoons (10g) minced garlic 1 teaspoon (5g) minced ginger 1 medium onion, sliced 2 large tomatoes (i used romas) 1 teaspoon (2-3g) white pepper 1 teaspoon (2-3g) smoked paprika 2 green onions, sliced 1/2 teaspoon (1-2g) curry powder (optional) 2 or more scotch bonnet peppers (adjust to taste or replace with any hot pepper) 1 tablespoon (10-11g) beef bouillon or chicken bouillon 2-3 bell peppers, chopped (red, green, yellow, orange, etc.), feel free to use as many as you want"
359,"2-3 pounds yuca (cassava) 4 cloves garlic, sliced 2-3 tablespoons sugar 1 pinch salt 3 tablespoons parsley, chopped cooking spray (or canola oil)"
360,"2-3 ripe plantains 1 tablespoon (15ml) canola oil 1/2 medium onion, thinly sliced 1 scotch bonnet pepper, diced (or hot sauce) 1/2 bell pepper (red, green, yellow, etc.), stem, ribs, and seeds removed, then thinly sliced into strips 1 small tomato 1 teaspoon (5g) minced garlic 1 teaspoon (3g) paprika 1 teaspoon (2g) fresh thyme (or oregano, basil, or any herb) coarse salt and ground black pepper to taste 6 large eggs 1 avocado (optional) 1/2-1 cup (70-155g) sausage, chopped (optional)"
361,"2 large overripe plantains 2 large eggs 1/3 cup (80g) plain yogurt or sour cream 3/4 cup plus 2 tablespoons (175g) granulated sugar 8 tablespoons (113g) unsalted butter, partially melted 1 teaspoon (5ml) vanilla extract 1/4 cup (60ml) milk 2 cups (240g) sifted cake flour 1 teaspoon (6g) baking soda 1 teaspoon (5g) baking powder 1/2 teaspoon (3g) salt 1 tablespoon (6g) grated lime zest (optional) 1 teaspoon (2-3g) grated nutmeg 1/2 cup (113g) unsalted butter 1/2 cup (100g) light brown sugar 1/4 cup (60ml) dark rum (optional) 1 teaspoon (5ml) vanilla extract"
362,1 large bananas mashed about a cup 1/4 cup sour cream/ yogurt 2 large eggs 1 teaspoon vanilla extract 2 cups all purpose flour 1/2 cup brown sugar 1/2 cup granulated sugar 1 teaspoon baking soda 1 teaspoon baking powder 1/2 teaspoon salt 1 large mango chopped about a cup or more 1/2 cup raisins 1 teaspoon ground ginger powder/ 1/2 cup 4 ounce unsalted melted butter (replace with oil) 1 -2 tablespoons dark rum optional 4 oz. cream cheese room temperature 1/2 cup confectioners' sugar 2 to 3 tbs. cold whole or low-fat milk 1 teaspoon pure vanilla extract 1/2 teaspoon lime/lemon 1 teaspoon grated lime
363,"2 large bananas, mashed (about 1¼ cups) 1 teaspoon (2-3g) grated nutmeg 1 cup (236ml) warm water 21/4 teaspoons (7g) active dry yeast (1 packet) 1/4-1/2 cup (50-100g) sugar 1 teaspoon (6g) salt 3 cups (360g) all-purpose flour oil for deep-frying"
364,"1-2 pound stew beef , cut in small pieces 1/2 -1 cup oil (canola, vegetable or corn) , adjust as needed 1 medium yellow onion 4 roma tomatoes , they are less acidic 4 peeled garlic cloves 1/4 cup chopped parsley 3-4 tablespoon celery leaves 1/2 -1 scotch bonnet pepper , optional 1-2 basil leaves 1 teaspoon fresh thyme 1 canned tomatoes sauce , 14 ounce 1/2 teaspoon curry powder 1 teaspoon white pepper 1-2 teaspoons smoked paprika 1 tablespoon maggie powder or beef bouillon powder 1-2 green onion , sliced salt to taste"
365,3 tablespoons (20g) smoked paprika 2 tablespoons (15g) paprika 1 tablespoon (8-9g) ground ginger 1 tablespoon (10g) granulated garlic 1 tablespoon (2g) dried basil 1 teaspoon (2-3g) white pepper 1/2 tablespoon (5g) cinnamon 1/2 tablespoon (8-9g) ground nutmeg 1/2 tablespoon (5-6g) fenugreek 1 teaspoon (3g) cumin 1 teaspoon (2g) cardamon 1 tablespoon (5g) or more dried chilis or cayenne (adjust amounts to suit tastes)
367,"2 -3 pounds of assorted meat chicken, beef, smoked fish, smoked turkey 1/4- 1/2 cup cooking oil 1/2 large onion sliced 2 tomatoes sliced 2 teaspoons garlic minced optional 1/2 cup ground crayfish 1/2 cup ground egusi 2 cups washed bitterleaf 3 cups if using bitterleaf only 3 cups fresh chopped spinach 1 tablespoon bouillon or 2 maggie cubes salt and pepper to taste"
368,1 pound (450g) dried beans or four 14.5-ounce cans of beans 1/4-1/2 cup (60-120ml) palm oil or canola oil 1 medium onion 2 tomatoes 1 tablespoon (15g) grated ginger optional 1/2 tablespoon (7-8g) minced garlic 1 tablespoon (8-9g) paprika 1 tablespoon (10g) maggie bouillon powder (optional) 1/2 pound (28-30g) smoked turkey or chicken 1/3-1/2 cup (12-20g) dried ground crayfish 2-3 cups (470-700ml) stock or water 1 scotch bonnet pepper (optional) salt and pepper to taste
369,"1 pound (453g) black-eyed peas 4-5 thick slices bacon, chopped 1/2 pound (225g) ham hocks, or smoked turkey 1 large onion, diced (about 1½ cup) 2 stalks celery, diced (about ½ cup) 1 tablespoon (10g) garlic, minced 2 teaspoons (2g) fresh thyme, minced 1-2 bay leaves 6-7 cups (1.5-1.7l) chicken broth, or water 2 teaspoons (8g) creole seasoning 11/2 cup (45g) spinach salt and pepper to taste"
370,"1 pound dried black-eyed peas 2-3 slices bacon, chopped (see notes) 1 tablespoon olive oil 1 medium onion, diced 3 cloves garlic, minced (about a tablespoon) 1 stalk celery, finely diced 2 teaspoons thyme, minced 1-2 teaspoons smoked paprika 1 bay leaf 1/4 teaspoon cayenne pepper, optional 3-31/2 cups low-sodium chicken broth or water, plus more if needed 4 cups collard greens, chopped salt and pepper to taste"
371,2 cups black-eyed peas 1/2 medium onion 1-2 hot pepper scotch bonnet or habenero pepper salt to taste about 1 3/4 teaspoons or more adjust to taste 2 large eggs optional see tips optional spices 1/2 teaspoon chicken bouillon powder 1/4 teaspoon smoked paprika) oil for deep frying
372,"1 pound (453g) black-eyed peas 4-5 thick slices bacon, chopped 5 ounces smoked sausage or turkey, diced (about 1 cup) 1 large onion, diced 1 stalk celery, diced 2-3 teaspoons garlic, minced 1 optional jalapeno, minced (can replace with ¼ teaspoon cayenne) 2 teaspoons fresh thyme, minced 1 bay leaf 1-2 teaspoons creole seasoning 7-8 cups chicken broth 2 cups (or more) collard greens (or you can use kale) salt and pepper to taste"
373,"2 tablespoons (28g) butter 2 medium onions, finely diced 1 tablespoon (15g) garlic, minced 2 slices bread 1/2 cup (118ml) milk 11/2 tablespoons (10-11g) curry powder 1 teaspoon (2-3g) turmeric 1 teaspoon (2-3g) ground cumin 1 teaspoon (2-3g) ground coriander 2 pounds (900g) lean ground beef 11/2 tablespoons (2-3g) dried herbs (thyme, basil, oregano, etc.) 1 large apple, grated 1/3-1/2 cup (90-136g) fruit chutney 1/4 cup (50g) raisins (optional) 1/2-1 lemon, juice and zest 1 tablespoon (15ml) worcestershire sauce 3 eggs 5-6 bay leaves 1/2 cup (118ml) cream 1/2 cup (118ml) milk salt and pepper to taste"
374,"2-3 large onion sliced 3-4 fresh sliced tomatoes mango chutney homemade chutney here 8 slices or more good-quality bread white, wheat 8 cheese sliced or grated cheese butter salt and pepper mayonnaise optional caramelized onions 2 tablespoons or more olive oil 1/2 teaspoon minced garlic onions salt and pepper to taste"
375,"1 teaspoons garlic 1/2 teaspoons thyme white pepper to taste 1- 11/2 teaspoon salt adjust to taste i used cajun seasoning salt 2-3 pounds of chicken thighs legs, skin on 1 large onions sliced 1 tablespoon minced garlic 1 bay leaf 2 -3 tablespoons mustard 2 teaspoons fresh minced thyme 1- teaspoon paprika 1- pound vegetables baby potatoes, green beans and carrots cut up 2 cups or more chicken broth or water. 1/2 teaspoon white pepper salt to taste ."
376,1/2 cup canola or cooking oil 1 medium onion 2 teaspoons minced garlic 1 teaspoons minced ginger 1 cinnamon stick 1 tablespoon curry powder or more 2-3 curry leaves diced 3 green cardamom pods 1 1/2 teaspoon paprika 1/2 teaspoon cayenne pepper optional 2 medium tomatoes diced 1 pound chicken thighs or breast cut in bite-sized pieces lightly crushed 8 ounce or less potatoes cleaned and cut into cubes 1 15 ounce can chickpeas rinsed and drained 11/2 cup or more chicken broth or water salt and pepper to taste
377,"11/2 pounds (680g) or more meat (smoked turkey, beef, chicken, or a combination of both cut in small pieces) 2 tablespoons (30ml) canola or any cooking oil 3 cloves garlic or 2 teaspoons minced garlic 1/2 medium onion, chopped 2-3 medium tomatoes, chopped 1/2 cup (60g) ground egusi 1/2 cup (28g) dried crayfish or shrimp (ground or smashed) 4 cups (300g) shredded cabbage or more"
378,"4 large bananas, super ripe (1½ cups mashed) 3/4 cup (100g) whole wheat flour 3/4-1 cup (100-120g) all-purpose flour 2-4 tablespoons (25-50g) brown sugar 2 teaspoons (10g) baking powder 1/2 teaspoon (2-3g) salt or more to taste 1 teaspoon (2-3g) nutmeg 1/2 teaspoon (2-3ml) vanilla oil for deep frying confectioners sugar (optional)"
379,"2 tubers cassava water (as much as needed) 1 lemon, juiced (optional)"
380,"3 pounds frozen cassava leaves 1 pound beef cut in bite size pieces 1/2 pound smoked chicken,turkey, fish 1 medium onion chopped 1/2 - 1 cup palm oil i used ½ palm oil and half canola oil 1/2 cup ground cray fish dried shrimps 4-5 tablespoon ground groundnuts peanut butter puree 1 tablespoon chicken bouillon or maggie powder 1 scotch bonnet pepper 1/2 teaspoon cayenne pepper optional 1/2 - 1 pound shrimp optional salt and pepper to taste"
381,2 pounds grated cassava i used frozen cassava 1 1/2 cup grated mature coconut 4 tablespoon unsalted butter melted 1/2 cup white granulated sugar 1/2 cup light brown sugar 1 14 oz. can coconut milk 1 teaspoon cinnamon spice 1 teaspoon salt 1/2 teaspoon grated nutmeg 1/4 teaspoon minced ginger 2- teaspoon vanilla extract 1/2 cup raisins optional
382,"2 tablespoons (30ml) cooking oil 1 medium onion, diced 1-2 teaspoon (2-4g) curry powder 2 teaspoons (10g) minced garlic 1/2 teaspoon (1g) thyme 1/2 teaspoon (1-2g) smoked paprika 1 teaspoon (2-3g) cayenne pepper 1/2 teaspoon (2-3g) minced ginger 1-2 tomatoes 3-4 cups (300-400g) cabbage, sliced 1 -2 chili peppers, diced (seeds removed for less heat) 1 large carrot, grated on the large side or sliced thinly 1 medium green pepper, diced 1 medium red pepper, diced 1 14-ounce can baked beans (see notes) 1 teaspoon (3-4g) bouillon powder (optional)"
383,"5-6 chicken thighs 1/2 tablespoon (7.5ml) olive oil 11/2 teaspoons (7g) salt (adjust to taste) 2 teaspoons (5g) creole seasoning 2 tablespoons (30 ml) oil 1/2 cup (80g) diced onions 1/4 cup (50g) celery 2-3 teaspoons (10-15g) minced garlic 1 large bay leaf 1-2 teaspoons (1-2g) minced thyme 4-6 ounces (113-170g) cremini mushrooms, sliced 21/2 tablespoons (20g) all-purpose flour 2 cups (480ml) chicken stock 1/2 cup (120ml) dry white wine or chicken stock 1/4 cup (60ml) heavy cream 2 medium carrots, peeled and sliced (about 1½ cups) 6-8 ounces (170-230g) asparagus, trimmed and sliced (about 1½ cups)"
384,"21/2-3 pounds (1.2-1.5kg) chicken thighs (about 6 thighs) 2 teaspoons (11-12g) salt 2 teaspoons (10g) onion powder 1 teaspoon (2g) fresh thyme or oregano 1 teaspoon (5g) garlic powder 1 teaspoon (3g) smoked paprika 1/2 teaspoon (1-2g) white pepper 1/2 teaspoon (1g) cayenne pepper 1/2 teaspoon (2-3g) chicken bouillon powder or salt 2 tablespoons (28ml) oil 1 medium onion, diced 1 medium bell pepper, diced 1 teaspoon (2g) fresh thyme 2 teaspoons (10g) minced garlic 1 teaspoon (5g) minced ginger 2 cups (392g) uncooked rice (i used basmati rice) 1 8-ounce can tomato sauce 3 cups (710ml) chicken stock or water 1 teaspoon (6g) salt 1 teaspoon (3g) paprika 1 teaspoon (3g) white pepper 1/2 teaspoon (1-2g) curry powder 1/2-1 teaspoon (2-5g) chicken bouillon 1/2 pound (225g) or more vegetables (carrots, peas, green beans, etc.) 1 scotch bonnet pepper or hot pepper (optional)"
385,"3 cups (360g) all-purpose flour, plus more as needed 1 tablespoon (12g) granulated sugar 11/2 teaspoon (9g) salt 1/2 cup (100g) ghee, clarified butter, or oil 1 cup (236ml) warm water 1-2 tablespoons (15-30ml) oil 1/2 medium onion, chopped 2 teaspoons (6g) minced garlic 1 teaspoon (3g) grated ginger 1/2-1 teaspoon pepper sauce or chili sauce 1 teaspoon (3g) curry powder 1/2 teaspoon (1-2g) cayenne pepper 1/2 teaspoon (2g) smoked paprika 1 teaspoon (2g) white pepper 1/2 pound (230g) ground meat (chicken, beef or turkey) 2-3 tablespoons chopped parsley or cilantro 1/3 cup (50g) peas, thawed if frozen salt to taste"
386,"3-31/2 pound (1.5kg) chicken, cut in pieces salt and pepper to taste 1-2 teaspoons (4-8g) creole seasoning 1/4–1/2 cup (62-125g) oil (canola, olive, or vegetable oil) 5-6 roma tomatoes (or 2 cups tomato sauce) 1 medium onion, sliced 1 tablespoon (8g) garlic, minced (3-4 cloves) 11/2 teaspoon (1.5g) dried thyme 1 tablespoon (7g) smoked paprika 1/4 teaspoon (0.5g) curry powder 1 bay leaf 1 tablespoon maggi or bouillon (chicken-flavored) 2 cups (475ml) water 2 green onion, chopped (whites and green parts) 3 tablespoon (12g) parsley 1-2 cups (130-250g) carrot, sliced"
387,"6 medium chicken thighs, bone-in and excess fat and skin trimmed salt and pepper to taste 1/2 teaspoon (2-3g) ginger, minced 1 teaspoon (5g) garlic, minced 1 teaspoon (3g) ground cumin 1 teaspoon (2-3g) smoked paprika 2 tablespoons (30ml) olive oil 1 medium onion, sliced 3 teaspoons (15g) garlic, minced 1 teaspoon (5g) ginger, minced 1 teaspoon (2g) ground coriander 1/2 tablespoon (3-4g) paprika 1 teaspoon (3g) ground cumin 2 small bay leaves 1/2 teaspoon (1g) cayenne pepper 1 14-ounce can chickpeas, rinsed and drained 1/2 cup (80g) apricots 1 cup (240ml) chicken stock or water, more as needed 1 large preserved lemon or 3 small, sliced (or zest and juice from one lemon) 11/2 cups (270g) green olives 1 tablespoon (4g) fresh parsley, chopped 1 lemon, thinly sliced plus extra for serving"
