recipe_ingredient_name,matched_fdc_id,matched_food_name,match_status,notes
sherry vinegar,NULL,NULL,unmatched,NULL
shoulder lamb,NULL,NULL,unmatched,NULL
shredded lettuce,NULL,NULL,unmatched,NULL
simple syrup,NULL,NULL,unmatched,NULL
sirloin chuck roast,NULL,NULL,unmatched,NULL
sirloin steak cm cube,NULL,NULL,unmatched,NULL
sized kariba bream fish gutted,NULL,NULL,unmatched,NULL
sized potato,NULL,NULL,unmatched,NULL
skin-on bone-in chicken thigh,NULL,NULL,unmatched,NULL
smooth peanut butter,NULL,NULL,unmatched,NULL
soda,NULL,NULL,unmatched,NULL
soda bicarbonate soda,NULL,NULL,unmatched,NULL
soft-boiled egg,NULL,NULL,unmatched,NULL
sour milk,NULL,NULL,unmatched,NULL
soy sauce,NULL,NULL,unmatched,NULL
spinach,NULL,NULL,unmatched,NULL
split fava bean (dried),NULL,NULL,unmatched,NULL
sprig thyme (fresh),NULL,NULL,unmatched,NULL
sprig thyme leave only (fresh),NULL,NULL,unmatched,NULL
sprinkle sesame seed,NULL,NULL,unmatched,NULL
squeezed,NULL,NULL,unmatched,NULL
squeezed refrigerator,NULL,NULL,unmatched,NULL
stale white bread crust removed,NULL,NULL,unmatched,NULL
star anise (ground),NULL,NULL,unmatched,NULL
star anise,NULL,NULL,unmatched,NULL
star anise seed,NULL,NULL,unmatched,NULL
steak mince,NULL,NULL,unmatched,NULL
stem ginger,NULL,NULL,unmatched,NULL
sugar (granulated),NULL,NULL,unmatched,NULL
sugar (powder),NULL,NULL,unmatched,NULL
sugar,NULL,NULL,unmatched,NULL
sweet corn,NULL,NULL,unmatched,NULL
sweet paprika (smoked),NULL,NULL,unmatched,NULL
sweet potato,NULL,NULL,unmatched,NULL
sweet potato scrubbed bite-sized chunk,NULL,NULL,unmatched,NULL
sweet potato skin scrubbed clean,NULL,NULL,unmatched,NULL
t-bone steak,NULL,NULL,unmatched,NULL
tamarind salt serve hot (paste),NULL,NULL,unmatched,NULL
tammy garlic sesame oil (infused),NULL,NULL,unmatched,NULL
tammy pure organic sesame oil,NULL,NULL,unmatched,NULL
teaspooon chili curry (powder),NULL,NULL,unmatched,NULL
teff flour,NULL,NULL,unmatched,NULL
tente mushroom,NULL,NULL,unmatched,NULL
thumb-sized root ginger (fresh),NULL,NULL,unmatched,NULL
thyme (dried),NULL,NULL,unmatched,NULL
thyme leave (fresh),NULL,NULL,unmatched,NULL
tightly packed spinach,NULL,NULL,unmatched,NULL
tilapia fish fillet,NULL,NULL,unmatched,NULL
tilapia washed cleaned thoroughly (whole),NULL,NULL,unmatched,NULL
tin tomato,NULL,NULL,unmatched,NULL
tomato (fresh),NULL,NULL,unmatched,NULL
tomato (paste),NULL,NULL,unmatched,NULL
tomato (whole),NULL,NULL,unmatched,NULL
tomato pur,NULL,NULL,unmatched,NULL
tumeric (powder),NULL,NULL,unmatched,NULL
turkey breast,NULL,NULL,unmatched,NULL
turkey wing chicken quarter,NULL,NULL,unmatched,NULL
turmeric (ground),NULL,NULL,unmatched,NULL
uda pod (ground),NULL,NULL,unmatched,NULL
unsalted butter,NULL,NULL,unmatched,NULL
unsalted butter occasionally,NULL,NULL,unmatched,NULL
unsalted butter water,NULL,NULL,unmatched,NULL
unsweetened coconut spoon (flakes),NULL,NULL,unmatched,NULL
vanilla essence,NULL,NULL,unmatched,NULL
vanilla extract,NULL,NULL,unmatched,NULL
vegetable (bouillon),NULL,NULL,unmatched,NULL
vegetable (stock),NULL,NULL,unmatched,NULL
vegetable crumbled (stock),NULL,NULL,unmatched,NULL
vegetable oil,NULL,NULL,unmatched,NULL
vegetable oil as,NULL,NULL,unmatched,NULL
vegetable oil extra greasing,NULL,NULL,unmatched,NULL
vegetable oil frying,NULL,NULL,unmatched,NULL
vinegar,NULL,NULL,unmatched,NULL
warm milk,NULL,NULL,unmatched,NULL
warm water,NULL,NULL,unmatched,NULL
warm water as,NULL,NULL,unmatched,NULL
warm water body,NULL,NULL,unmatched,NULL
warm water nonstick skillet over,NULL,NULL,unmatched,NULL
water,NULL,NULL,unmatched,NULL
water as,NULL,NULL,unmatched,NULL
water cornmeal salt,NULL,NULL,unmatched,NULL
water simmer oxtail,NULL,NULL,unmatched,NULL
water soften,NULL,NULL,unmatched,NULL
water use handheld sieve,NULL,NULL,unmatched,NULL
wheat flour (whole),NULL,NULL,unmatched,NULL
wheat flour hand (whole),NULL,NULL,unmatched,NULL
white bowl clean kitchen (ground),NULL,NULL,unmatched,NULL
white bread,NULL,NULL,unmatched,NULL
white breadcrumb (fresh),NULL,NULL,unmatched,NULL
white cabbage shredded,NULL,NULL,unmatched,NULL
white kidney bean overnight (dried),NULL,NULL,unmatched,NULL
white onion,NULL,NULL,unmatched,NULL
white pepper,NULL,NULL,unmatched,NULL
white sugar,NULL,NULL,unmatched,NULL
white teff flour,NULL,NULL,unmatched,NULL
white wine spirit vinegar,NULL,NULL,unmatched,NULL
white wooden spoon (ground),NULL,NULL,unmatched,NULL
wholegrain mustard,NULL,NULL,unmatched,NULL
worcestershire sauce,NULL,NULL,unmatched,NULL
xawaash spice,NULL,NULL,unmatched,NULL
yam,NULL,NULL,unmatched,NULL
yam flour,NULL,NULL,unmatched,NULL
yam plantain rice,NULL,NULL,unmatched,NULL
yam tuber,NULL,NULL,unmatched,NULL
yellow bell pepper,NULL,NULL,unmatched,NULL
yellow cornmeal,NULL,NULL,unmatched,NULL
yellow lusaka bean,NULL,NULL,unmatched,NULL
yellow pepper,NULL,NULL,unmatched,NULL
yellow red bell pepper,NULL,NULL,unmatched,NULL
young turkey (fresh),NULL,NULL,unmatched,NULL
yuca root,NULL,NULL,unmatched,NULL
yucca root,NULL,NULL,unmatched,NULL
yukon gold potato,NULL,NULL,unmatched,NULL
yukon gold potato -inch cube,NULL,NULL,unmatched,NULL
yukon gold potato -inch thick,NULL,NULL,unmatched,NULL
yukon gold potato chunk,NULL,NULL,unmatched,NULL
zest juice lemon,NULL,NULL,unmatched,NULL
zest lemon,NULL,NULL,unmatched,NULL
zest orange,NULL,NULL,unmatched,NULL
zimspice blue poppy seed,NULL,NULL,unmatched,NULL
zimspice curry (powder),NULL,NULL,unmatched,NULL
zimspice fish curry,NULL,NULL,unmatched,NULL
zimspice portuguese chicken masala,NULL,NULL,unmatched,NULL
zimspice turmeric,NULL,NULL,unmatched,NULL
zucchini,NULL,NULL,unmatched,NULL
